_id,ADDRESS.ID,ADDRESS.Organisation,ADDRESS.Organisationsbereich,ADDRESS.Bezeichnung,ADDRESS.Strasse,ADDRESS.Hausnummer,ADDRESS.Postleitzahl,ADDRESS.Ort,ADDRESS.c/o (Postanschrift),ADDRESS.Strasse (Postanschrift),ADDRESS.Hausnummer (Postanschrift),ADDRESS.Postfach (Postanschrift),ADDRESS.Postleitzahl (Postanschrift),ADDRESS.Ort (Postanschrift),ADDRESS.Lat,ADDRESS.Lon,SERVICE.ID,ADDRESS.Telefon,ADDRESS.Fax,ADDRESS.Mobilnummer,ADDRESS.E-Mail,ADDRESS.Homepage,ADDRESS.Offnungszeiten (Text),ADDRESS.Erreichbarkeit,ADDRESS.Kfz-Parkplatze fur Behinderte,ADDRESS.Hilfen fur Gehbehinderte,ADDRESS.Hilfen fur Sehbehinderte,ADDRESS.Hilfen fur gehorlose und schwerhorige Menschen,ADDRESS.Barrierefreiheit (Anmerkung),SERVICE.Bezeichnung,SERVICE.Anzeigename,SERVICE.Beschreibung,SERVICE.Kurzbeschreibung,Schlagworte,Dokumente & Links,Angebot
1,10112306,,,"Behindertenparkplatz ""Zumpestraße ggü. 10""",,,,,,,,,,,48.13842345619924,11.606018984666873,10112307,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,"<div class=""textarea"">
Akademietheater - Anzahl: 1 - zeitliche Einschränkung: 9.00-23.00 Uhr</div>
",,,,
2,10112611,,,"Behindertenparkplatz ""Herzogspitalstraße 13""",,,,,,,,,,,48.13789128996503,11.56678953679768,10112612,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,<p>allgemeiner Bedarf (Stadtsteueramt) - Anzahl: 2 - zeitliche Einschränkung: keine</p>,,,,
3,10113573,,,"Behindertenparkplatz ""Sternwartstraße 2""",,,,,,,,,,,48.14591524513895,11.603489108966377,10113574,,,,,,,,Nein,Nein,Nein,Nein,,"Behindertenparkplatz ""Sternwartstraße 2""","Behindertenparkplatz ""Sternwartstraße 2""","<div class=""textarea"">
Allgemeiner Bedarf - Anzahl: 1 - zeitliche Einschränkung: werktags 7.00-18.00 Uhr</div>",,,,
4,10114101,,,"Behindertenparkplatz ""Weißenburger Straße ggü. 50""",,,,,,,,,,,48.12827521646025,11.602328355325922,10114102,,,,,,,,Nein,Nein,Nein,Nein,,"Behindertenparkplatz ""Weißenburger Straße ggü. 50""","Behindertenparkplatz ""Weißenburger Straße ggü. 50""","<div class=""textarea"">
<p>
Behindertenberatung - Anzahl: 1 - zeitliche Einschränkung: 9.00-23.00 Uhr</p>
</div>",,,,
5,10114672,,,"Behindertenparkplatz ""Keferloherstraße 71""",,,,,,,,,,,48.18175083847455,11.5677116077315,10114673,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,"<div class=""textarea"">
Kulturzentrum, Kirche, allgemeiner Bedarf - Anzahl: 1 - zeitliche Einschränkung: keine</div>
",,,,
6,10115132,,,"Behindertenparkplatz ""Grohmannstraße 3""",,,,,,,,,,,48.2196994944478,11.552867662131002,10115133,,,,,,,,Nein,Nein,Nein,Nein,,"Behindertenparkplatz ""Grohmannstraße 3""","Behindertenparkplatz ""Grohmannstraße 3""","<div class=""textarea"">
<p>
Allgemeiner Bedarf - Anzahl: 1 - zeitliche Einschränkung: keine</p>
</div>",,,,
7,10115983,,,"Behindertenparkplatz ""Floriansmühlstraße 5""",,,,,,,,,,,48.1920363818967,11.61912636060894,10115984,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,"<div class=""type-text"">
<div class=""textarea"">
Theater - Anzahl: 1 - zeitliche Einschränkung: Mo-Fr 17.00-22.00 Uhr, Sa+So 10.00-22.00 Uhr</div>
</div>
",,,,
8,10139105,,,"Behindertenparkplatz ""Frauenlobstraße 5""",,,,,,,,,,,48.13045873512116,11.56453456430077,10139106,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,Kirche - Anzahl: 1 - zeitliche Einschränkung: keine,,,,
9,10165520,,,"Behindertenparkplatz ""Muspillistraße 31""",,,,,,,,,,,48.17125567111625,11.624093272875202,10165521,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,Pfarramt und Kirche St. Lorenz - Anzahl: 1 - zeitliche Einschränkung: keine,,,,
10,10165522,,,"Behindertenparkplatz ""Winzererstraße 106""",,,,,,,,,,,48.16431234614394,11.562836974786382,10165523,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,Landesarbeitsgericht - Anzahl: 1 - zeitliche Einschränkung: Mo-Fr werktags 9.00-18.00 Uhr,,,,
11,10165524,,,"Behindertenparkplatz ""Breslauer Straße 2""",,,,,,,,,,,48.181279789901595,11.508586995706164,10165525,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,"Postamt, Ärztehaus und Apotheke - Anzahl: 1 - zeitliche Einschränkung: Mo-Fr werktags 8.00-19.00, Sa werktags 9.00-13.00, bis 2 Stunden",,,,
12,10165526,,,"Behindertenparkplatz ""Wörthstraße 9""",,,,,,,,,,,48.131550094320374,11.598810146068455,10165527,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,Osteopathiepraxis - Anzahl: 1 - zeitliche Einschränkung: Mo-Fr werktags 8.00-18.00,,,,
13,10165799,,,"Behindertenparkplatz ""Mariahilfplatz 17""",,,,,,,,,,,48.12411692619948,11.583581712267785,10165800,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,"<div class=""textarea"">
Landratsamt - Anzahl: 1 - zeitliche Einschränkung: keine</div>
",,,,
14,10165801,,,"Behindertenparkplatz ""Theresienstraße 35 a""",,,,,,,,,,,48.14825710769967,11.574275218863704,10165802,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,"<div class=""textarea"">
Museum Brandhorst - Anzahl: 2 - zeitliche Einschränkung: 9.00-20.00 bis 3 Stunden</div>
",,,,
15,10165803,,,"Behindertenparkplatz ""Fraunbergplatz 1""",,,,,,,,,,,48.100095977676744,11.544537130491742,10165804,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,"<div class=""textarea"">
Kirche Maria Thalheim - Anzahl: 1 - zeitliche Einschränkung: keine</div>
",,,,
16,10170596,,,"Behindertenparkplatz ""Rathenaustraße 74""",,,,,,,,,,,48.20121925078049,11.573178017458758,10170597,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,lokaler Bedarf - Anzahl: 1 - zeitliche Einschränkung: 7.00-20.00 Uhr bis 3 Stunden,,,,
17,10172281,,,"Behindertenparkplatz ""Freischützstraße 65""",,,,,,,,,,,48.16547913360779,11.64444156547407,10172282,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,"Ärztehaus, Apotheke - Anzahl: 1 - zeitliche Einschränkung: keine",,,,
18,10176137,,,"Behindertenparkplatz ""Landsberger Straße 511""",,,,,,,,,,,48.14653932440124,11.461547900908574,10176140,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,Allgemeiner Bedarf - Anzahl: 1 - zeitliche Einschränkung: keine,,,,
19,10182040,,,"Behindertenparkplatz ""Elisenstraße Nähe Nr. 3""",,,,,,,,,,,48.1412966884266,11.563589787551834,10182041,,,,,,,,Nein,Nein,Nein,Nein,,Behindertenparkplatz,Behindertenparkplatz,"<div class=""textarea"">
Oberlandesgericht - Anzahl: 1 - zeitliche Einschränkung: Mo-Fr werktags 7.00-20.00 Uhr</div>
",,,,
