,Latitude,Longitude,name,wheelchair,wheelchair:description,amenity,opening_hours,tourism,atm,website,cuisine,toilets:wheelchair,subway,tram,bus,railway,public_transport,PublicTraffic,What
4357,48.1664579,11.5810775,089 Bioeck,yes,,Post Office,"Mo-Fr 09:00-18:30, Sa 09:00-14:00",,,,,,,,,,,,Post Office
2897,48.0896232,11.643474,089 Burger & more,yes,,Restaurant,"Mo-Fr 11:00-23:00, Sa 15:00-23:00, Su 12:00-22:00",,,,Burger,no,,,,,,,Restaurant
6273,48.1390408,11.5642244,35mm,yes,,Restaurant,"Mo-We,Su 10:00-01:00, Th-Sa 10:00+",,,https://35mmm.de/,,Fully Wheelchair Accessible,,,,,,,Restaurant
8142,48.1813321,11.5527528,5 Rings Sportsbar,limited,,Pub,,,,,,,,,,,,,Pub
7111,48.1177349,11.5820542,70er,yes,,Pub,,,,,,,,,,,,,Pub
9910,48.1441676,11.4948971,A&O Hostel,limited,,,,Hostel,,https://www.aohostels.com/de/muenchen/muenchen-laim/,,,,,,,,,Hostel
1800,48.1617883,11.5855249,ABC Kino,yes,,Cinema,"Mo,We 15:00-20:30, Tu,Th 15:45-20:30, Fr 14:45-20:30, Sa,Su 15:15-20:30",,,https://www.abckino.de/,,no,,,,,,,Cinema
1543,48.087486,11.6001175,ABC-Apotheke,yes,,Pharmacy,"Mo-Th 08:00-19:00, Fr 08:00-18:00, Sa 08:30-13:00",,,,,,,,,,,,Pharmacy
13256,48.1336405,11.5812518,AIVI Eatery,limited,,Restaurant,"Mo-Fr 12:00-15:00,18:00-22:00, Sa 18:00-23:00",,,https://www.aivi-eatery.com/,Sushi,,,,,,,,Restaurant
8831,48.1205184,11.6135774,AKA - Aktiv für interKulturellen Austausch e.V.,yes,,Cafe,Mo-Fr 10:00-13:30,,,,,Fully Wheelchair Accessible,,,,,,,Cafe
6360,48.1522599,11.5788549,AKUO,limited,kein Rolli-WC,Restaurant,"Mo-Fr 11:00-21:00, Sa 12:00-20:00, Su,PH off",,,,Asian,,,,,,,,Restaurant
