,Latitude,Longitude,name,wheelchair,wheelchair:description,amenity,opening_hours,tourism,atm,website,cuisine
4357,48.1664579,11.5810775,089 Bioeck,Fully Wheelchair Accessible,,Post Office,"Mo-Fr 09:00-18:30, Sa 09:00-14:00",,,,
2897,48.0896232,11.643474,089 Burger & more,Fully Wheelchair Accessible,,Restaurant,"Mo-Fr 11:00-23:00, Sa 15:00-23:00, Su 12:00-22:00",,,,Burger
6273,48.1390408,11.5642244,35mm,Fully Wheelchair Accessible,,Restaurant,"Mo-We,Su 10:00-01:00, Th-Sa 10:00+",,,https://35mmm.de/,
8142,48.1813321,11.5527528,5 Rings Sportsbar,Partially Wheelchair Accessible,,Pub,,,,,
7111,48.1177349,11.5820542,70er,Fully Wheelchair Accessible,,Pub,,,,,
9910,48.1441676,11.4948971,A&O Hostel,Partially Wheelchair Accessible,,,,Hostel,,https://www.aohostels.com/de/muenchen/muenchen-laim/,
1800,48.1617883,11.5855249,ABC Kino,Fully Wheelchair Accessible,,Cinema,"Mo,We 15:00-20:30, Tu,Th 15:45-20:30, Fr 14:45-20:30, Sa,Su 15:15-20:30",,,https://www.abckino.de/,
1543,48.087486,11.6001175,ABC-Apotheke,Fully Wheelchair Accessible,,Pharmacy,"Mo-Th 08:00-19:00, Fr 08:00-18:00, Sa 08:30-13:00",,,,
13256,48.1336405,11.5812518,AIVI Eatery,Partially Wheelchair Accessible,,Restaurant,"Mo-Fr 12:00-15:00,18:00-22:00, Sa 18:00-23:00",,,https://www.aivi-eatery.com/,Sushi
8831,48.1205184,11.6135774,AKA - Aktiv für interKulturellen Austausch e.V.,Fully Wheelchair Accessible,,Cafe,Mo-Fr 10:00-13:30,,,,
6360,48.1522599,11.5788549,AKUO,Partially Wheelchair Accessible,kein Rolli-WC,Restaurant,"Mo-Fr 11:00-21:00, Sa 12:00-20:00, Su,PH off",,,,Asian
3938,48.1532032,11.5327689,ALEX,Partially Wheelchair Accessible,,Restaurant,"Mo-Th 08:00-01:00, Fr-Sa 08:00-02:00, Su 09:00-01:00",,,,
7103,48.113025,11.5925403,AROMA,Fully Wheelchair Accessible,,Restaurant,Mo-Su 09:00-01:00,,,,
10314,48.1111288,11.5026867,"ASAM praevent GmbH, Institut für Arbeitssicherheit, Arbeitsmedizin und Prävention",Fully Wheelchair Accessible,,Doctors,"Mo-Th 08:30-12:00,13:00-16:30, Fr 08:30-13:00",,,https://www.asam-praevent.de/,
4084,48.1497347,11.5343549,ASIA Restaurant (Hanshe),Fully Wheelchair Accessible,,Restaurant,Mo-Fr 11:00-19:30,,,,Vietnamese
