Longitude,Latitude,id,@id,bus,highway,name,public_transport,wheelchair,amenity,parking,opening_hours,wheelchair:description,internet_access,tourism,atm,website,cuisine,phone,old_name,service,charge,name:de,name:ru,name:zh,contact:phone,takeaway,brewery,contact:email,contact:fax,contact:website,diet:vegetarian,survey:date,email,fax,name:en,light_rail,ref_name,healthcare,diet:vegan
11.5242331,48.0719185,node/6145758609,node/6145758609,yes,bus_stop,Whistlerweg,platform,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5090759,48.0978344,node/702460865,node/702460865,yes,bus_stop,Drygalski-Allee,platform,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5643562,48.2017065,node/5538148126,node/5538148126,yes,bus_stop,Augustin-Rösch-Straße,platform,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5599721,48.1576123,node/3811913891,node/3811913891,yes,bus_stop,Winzererstraße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5604036,48.1578516,node/3811915058,node/3811915058,yes,bus_stop,Winzererstraße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6375267,48.1551374,node/2265980272,node/2265980272,yes,bus_stop,Wilhelm-Dieß-Weg,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6708226,48.1197765,node/673714793,node/673714793,yes,bus_stop,Kulturzentrum Trudering,platform,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5323275,48.0955579,node/2799927910,node/2799927910,yes,bus_stop,Siemenswerke,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5748343,48.1342239,node/8273444667,node/8273444667,yes,bus_stop,Schrannenhalle,platform,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.53716,48.1662581,node/5538123590,node/5538123590,yes,bus_stop,Olympiapark West,platform,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5380874,48.1646303,node/5538123591,node/5538123591,yes,bus_stop,Olympiapark West,platform,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4827112,48.183463,node/369582463,node/369582463,yes,bus_stop,Schulbus,platform,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6058586,48.1210223,node/471836891,node/471836891,yes,bus_stop,Anzinger Straße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.605675,48.1211771,node/3955506659,node/3955506659,yes,bus_stop,Anzinger Straße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6040905,48.1081223,node/457091422,node/457091422,yes,bus_stop,Balanstraße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6039848,48.1090774,node/4635028599,node/4635028599,yes,bus_stop,Balanstraße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5276104,48.0957228,node/1851814531,node/1851814531,yes,bus_stop,Gmunder Straße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5275911,48.0956714,node/1851814532,node/1851814532,yes,bus_stop,Gmunder Straße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6098091,48.1321947,node/3186213082,node/3186213082,yes,bus_stop,Haidenauplatz,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5077282,48.1527575,node/444575,node/444575,yes,bus_stop,Hirschgartenallee,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6476821,48.1693508,node/339700678,node/339700678,yes,bus_stop,Johanneskirchen Bahnhof,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6344614,48.1270144,node/898182089,node/898182089,yes,bus_stop,Josephsburg,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6342782,48.1266498,node/4560721622,node/4560721622,yes,bus_stop,Josephsburg,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6602188,48.1156469,node/886125747,node/886125747,yes,bus_stop,Mönchbergstraße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6135017,48.1268286,node/1302672365,node/1302672365,yes,bus_stop,Mühldorfstraße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6098656,48.0926803,node/808461657,node/808461657,yes,bus_stop,Obernzeller Straße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6098002,48.0929031,node/3454432915,node/3454432915,yes,bus_stop,Obernzeller Straße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6069519,48.1271092,node/6859065015,node/6859065015,yes,bus_stop,Ostbahnhof Friedenstraße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6319072,48.1113985,node/885642830,node/885642830,yes,bus_stop,Ostpark Eislaufzentrum,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4625682,48.1504504,node/2157650057,node/2157650057,yes,bus_stop,Pasing Bahnhof Nord,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5136922,48.1353481,node/2670828765,node/2670828765,yes,bus_stop,Siglstraße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5831895,48.1186558,node/1127688004,node/1127688004,yes,bus_stop,Ostfriedhof,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5839652,48.1194042,node/1670275570,node/1670275570,yes,bus_stop,Ostfriedhof,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4610084,48.1487833,node/3831996962,node/3831996962,,bus_stop,Pasing Bahnhof,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6201025,48.2117736,node/4350340889,node/4350340889,,bus_stop,Allianz Arena,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6913571,48.1333557,node/8436044678,node/8436044678,yes,bus_stop,Messestadt West,platform,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5506182,48.1429785,node/4587126594,node/4587126594,yes,bus_stop,München ZOB,platform,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5365702,48.1467724,node/21040295,node/21040295,yes,bus_stop,Donnersbergerstraße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4749442,48.1755824,node/2747607951,node/2747607951,yes,bus_stop,Finsterwalderstraße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6102458,48.1329564,node/3186219163,node/3186219163,yes,bus_stop,Haidenauplatz,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6101801,48.1327331,node/3769568157,node/3769568157,yes,bus_stop,Haidenauplatz,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4746663,48.1791159,node/2747608075,node/2747608075,yes,bus_stop,Karl-von-Roth-Straße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4747126,48.1793299,node/3831833858,node/3831833858,yes,bus_stop,Karl-von-Roth-Straße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5637388,48.1457151,node/618702491,node/618702491,yes,bus_stop,Königsplatz,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6594785,48.167347,node/341412674,node/341412674,yes,bus_stop,Lübecker Straße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6596042,48.1668775,node/341413291,node/341413291,yes,bus_stop,Lübecker Straße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5013351,48.1804936,node/2733486261,node/2733486261,yes,bus_stop,Margarete-Steiff-Straße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5016442,48.1805483,node/2733486272,node/2733486272,yes,bus_stop,Margarete-Steiff-Straße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5566598,48.1786217,node/347127280,node/347127280,yes,bus_stop,Olympiazentrum,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5567112,48.1787905,node/1267593965,node/1267593965,yes,bus_stop,Olympiazentrum,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5996925,48.1254487,node/1294709086,node/1294709086,yes,bus_stop,Orleansstraße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5754873,48.1454069,node/735118938,node/735118938,yes,bus_stop,Oskar-von-Miller-Ring,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6217809,48.1606743,node/2881736501,node/2881736501,yes,bus_stop,Priel,stop_position,limited,,,,Die Rampe ist etwas abschüssig. Die Bordsteinpflaster sind uneben.,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5924443,48.1145456,node/1449321544,node/1449321544,yes,bus_stop,Werinherstraße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5301167,48.1027308,node/387430724,node/387430724,yes,bus_stop,Zielstattstraße,stop_position,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4610147,48.1494642,node/8231142779,node/8231142779,yes,bus_stop,Pasing,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.636552,48.0992462,node/457091432,node/457091432,yes,bus_stop,Wilhelm-Hoegner-Straße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6363156,48.0985855,node/886035332,node/886035332,yes,bus_stop,Wilhelm-Hoegner-Straße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6430074,48.0856533,node/419241676,node/419241676,yes,bus_stop,Curd-Jürgens-Straße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5344189,48.1365005,node/1851814535,node/1851814535,yes,bus_stop,Gollierplatz,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.534282,48.1363248,node/1851814539,node/1851814539,yes,bus_stop,Gollierplatz,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6173945,48.1121772,node/633552769,node/633552769,yes,bus_stop,Diakon-Kerolt-Weg,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6177664,48.1114554,node/2041510,node/2041510,yes,bus_stop,Diakon-Kerolt-Weg,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6189084,48.1084837,node/633552747,node/633552747,yes,bus_stop,Woferlstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6188164,48.1087049,node/637704150,node/637704150,yes,bus_stop,Woferlstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6247307,48.103734,node/633552778,node/633552778,yes,bus_stop,Weddigenstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6244817,48.1039335,node/633552780,node/633552780,yes,bus_stop,Weddigenstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6213503,48.1061973,node/771421229,node/771421229,yes,bus_stop,Adilostraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.6090378,48.1188172,node/420343564,node/420343564,yes,bus_stop,Karl-Preis-Platz,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5391529,48.1278606,node/3995458745,node/3995458745,yes,bus_stop,Ganghoferbrücke,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5390658,48.1279665,node/1851814530,node/1851814530,yes,bus_stop,Ganghoferbrücke,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5961084,48.106973,node/456354500,node/456354500,yes,bus_stop,Chiemgaustraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.595209,48.1108147,node/598449053,node/598449053,yes,bus_stop,Giesing Bahnhof,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5952816,48.1106512,node/598449050,node/598449050,yes,bus_stop,Giesing Bahnhof,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5879473,48.1047418,node/544744846,node/544744846,yes,bus_stop,Traunsteiner Straße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5867086,48.1046785,node/544744843,node/544744843,yes,bus_stop,Traunsteiner Straße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5908345,48.1052393,node/544744851,node/544744851,yes,bus_stop,Pöllatstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5906607,48.1051943,node/544744848,node/544744848,yes,bus_stop,Pöllatstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5485875,48.1229711,node/2794835498,node/2794835498,yes,bus_stop,Senserstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5485847,48.1229385,node/2794835499,node/2794835499,yes,bus_stop,Senserstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5395087,48.1112456,node/1842043026,node/1842043026,yes,bus_stop,Heckenstallerstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5397565,48.1110893,node/1842043025,node/1842043025,yes,bus_stop,Heckenstallerstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5727344,48.1153544,node/375619685,node/375619685,yes,bus_stop,Winterstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5729226,48.1157594,node/375619691,node/375619691,yes,bus_stop,Winterstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.599499,48.0873978,node/544744821,node/544744821,yes,bus_stop,Kiefernstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5819815,48.1016957,node/544744833,node/544744833,yes,bus_stop,Soyerhofstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5661983,48.1130499,node/375613147,node/375613147,yes,bus_stop,Gerhardstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.566012,48.1128219,node/375614357,node/375614357,yes,bus_stop,Gerhardstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5238829,48.1361688,node/1877959862,node/1877959862,yes,bus_stop,Elsenheimerstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5240693,48.1360272,node/1877959861,node/1877959861,yes,bus_stop,Elsenheimerstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5777435,48.0964762,node/457091405,node/457091405,yes,bus_stop,Mangfallplatz Süd,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5344204,48.1282916,node/1877959865,node/1877959865,yes,bus_stop,Hansapark,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5344419,48.1284478,node/1877959866,node/1877959866,yes,bus_stop,Hansapark,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5356907,48.1266102,node/1877959853,node/1877959853,yes,bus_stop,Baumgartnerstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5230462,48.0753371,node/4417416477,node/4417416477,yes,bus_stop,Ringelnatzweg,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5234458,48.0753711,node/4417416476,node/4417416476,yes,bus_stop,Ringelnatzweg,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.534253,48.1093491,node/1570027817,node/1570027817,yes,bus_stop,Adunistraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5342229,48.1098532,node/1851814525,node/1851814525,yes,bus_stop,Adunistraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5326978,48.105918,node/1851814684,node/1851814684,yes,bus_stop,Schneemannstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.51796,48.0988561,node/330156750,node/330156750,yes,bus_stop,Geisenhausenerstraße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5193309,48.0987396,node/330156720,node/330156720,yes,bus_stop,Geisenhausenerstraße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5194856,48.0721793,node/4417416474,node/4417416474,yes,bus_stop,Melchiorstraße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5170562,48.0691073,node/4417416478,node/4417416478,yes,bus_stop,Waldfriedhof Solln,platform,yes,,,,erhöhter Bordstein,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5994613,48.1531554,node/1842043057,node/1842043057,yes,bus_stop,Am Tucherpark,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5987767,48.1523448,node/1842043056,node/1842043056,yes,bus_stop,Am Tucherpark,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5575335,48.1214747,node/1877959860,node/1877959860,yes,bus_stop,Ehrengutstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5572608,48.1213021,node/1877959857,node/1877959857,yes,bus_stop,Ehrengutstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4786218,48.1197627,node/3232322861,node/3232322861,yes,bus_stop,Am Ährenfeld,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4673612,48.1146545,node/364817884,node/364817884,yes,bus_stop,Waldhüterstraße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4668669,48.1147083,node/364817886,node/364817886,yes,bus_stop,Waldhüterstraße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5767017,48.120657,node/324642373,node/324642373,yes,bus_stop,Kolumbusplatz (Nord),stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4622378,48.1403604,node/2773764887,node/2773764887,yes,bus_stop,Weinbergerstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4608104,48.1404166,node/2773764893,node/2773764893,yes,bus_stop,Weinbergerstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4792008,48.1295012,node/783915209,node/783915209,yes,bus_stop,Silberdistelstraße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4824636,48.1301231,node/783915226,node/783915226,yes,bus_stop,Willibaldstraße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4838977,48.1301076,node/783938460,node/783938460,yes,bus_stop,Willibaldstraße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4901474,48.129806,node/783905630,node/783905630,yes,bus_stop,Hönigschmidplatz,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4889946,48.1300913,node/783905623,node/783905623,yes,bus_stop,Hönigschmidplatz,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4945289,48.1288688,node/783938453,node/783938453,yes,bus_stop,Menaristraße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4938982,48.1289008,node/783905617,node/783905617,yes,bus_stop,Menaristraße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4983317,48.1314425,node/2775375424,node/2775375424,yes,bus_stop,Guido-Schneble-Straße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4981772,48.1314896,node/783897969,node/783897969,yes,bus_stop,Guido-Schneble-Straße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4150724,48.146465,node/249245174,node/249245174,yes,bus_stop,Wiesentfelser Straße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4138133,48.146474,node/2755934534,node/2755934534,yes,bus_stop,Wiesentfelser Straße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4141055,48.1464789,node/3791945538,node/3791945538,yes,bus_stop,Wiesentfelser Straße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4146625,48.1464782,node/3791949957,node/3791949957,yes,bus_stop,Wiesentfelser Straße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4138548,48.1482768,node/2755934519,node/2755934519,yes,bus_stop,Riesenburgstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4136475,48.1489116,node/2755934522,node/2755934522,yes,bus_stop,Riesenburgstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4434814,48.1765912,node/2758073646,node/2758073646,yes,bus_stop,Goteboldstraße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.4433037,48.177034,node/2758073690,node/2758073690,yes,bus_stop,Goteboldstraße,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.527787,48.1518561,node/670959702,node/670959702,yes,bus_stop,Winthirplatz,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5391674,48.1304538,node/1851814660,node/1851814660,yes,bus_stop,Ridlerstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5393146,48.1311186,node/1851814661,node/1851814661,yes,bus_stop,Ridlerstraße,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.537518,48.169453,node/4558672097,node/4558672097,yes,bus_stop,Sapporobogen,platform,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.538562,48.203766,node/2730139797,node/2730139797,yes,bus_stop,Franz-Sperr-Weg,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5438299,48.2090957,node/3372048993,node/3372048993,yes,bus_stop,Feldmochinger Anger,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.5437385,48.2091053,node/2711021525,node/2711021525,yes,bus_stop,Feldmochinger Anger,stop_position,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
